symbol,company name
INOD,Innodata Inc.
NVDA,NVIDIA Corporation
AMBA,"Ambarella, Inc."
WDC,Western Digital Corporation
PAY,"Paymentus Holdings, Inc."
DAVE,Dave Inc.
RBRK,"Rubrik, Inc."
MNTN,"MNTN, Inc."
SMCI,"Super Micro Computer, Inc."
NVMI,Nova Ltd.
KSPI,Joint Stock Company Kaspi.kz
ZETA,Zeta Global Holdings Corp.
DUOL,"Duolingo, Inc."
TSM,Taiwan Semiconductor Manufacturing Company Limited
STX,Seagate Technology Holdings plc
AFRM,"Affirm Holdings, Inc."
MRVL,"Marvell Technology, Inc."
CWAN,"Clearwater Analytics Holdings, Inc."
MELI,"MercadoLibre, Inc."
RMBS,Rambus Inc.
RELY,"Remitly Global, Inc."
BTSG,"BrightSpring Health Services, Inc."
MPWR,"Monolithic Power Systems, Inc."
SE,Sea Limited
MTSI,"MACOM Technology Solutions Holdings, Inc."
HNGE,"Hinge Health, Inc."
GLBE,Global-E Online Ltd.
KVYO,"Klaviyo, Inc."
MNDY,monday.com Ltd.
ACVA,ACV Auctions Inc.
OPRA,Opera Limited
SLAB,Silicon Laboratories Inc.
NYAX,Nayax Ltd.
SNOW,Snowflake Inc.
GRND,Grindr Inc.
AVGO,Broadcom Inc.
CAMT,Camtek Ltd.
AMD,"Advanced Micro Devices, Inc."
BULL,Webull Corporation
ASML,ASML Holding N.V.
ODD,Oddity Tech Ltd.
TOST,"Toast, Inc."
DDOG,"Datadog, Inc."
ANET,Arista Networks Inc
GENI,Genius Sports Limited
OS,"OneStream, Inc."
PGY,Pagaya Technologies Ltd.
AVPT,"AvePoint, Inc."
KLAC,KLA Corporation
FOUR,"Shift4 Payments, Inc."
DASH,"DoorDash, Inc."
LRCX,Lam Research Corporation
ZS,"Zscaler, Inc."
BILI,Bilibili Inc.
GWRE,"Guidewire Software, Inc."
CDNS,"Cadence Design Systems, Inc."
TUYA,Tuya Inc.
SMTC,Semtech Corporation
FLYW,Flywire Corporation
SEMR,"Semrush Holdings, Inc."
PRGS,Progress Software Corporation
DLO,DLocal Limited
FROG,JFrog Ltd.
IDCC,"InterDigital, Inc."
